1stflrsf,2ndflrsf,3ssnporch,bedroomabvgr,bldgtype,bsmtcond,bsmtexposure,bsmtfinsf1,bsmtfinsf2,bsmtfintype1,bsmtfintype2,bsmtfullbath,bsmthalfbath,bsmtqual,bsmtunfsf,centralair,condition1,condition2,electrical,enclosedporch,extercond,exterqual,exterior1st,exterior2nd,fireplaces,foundation,fullbath,functional,garagearea,garagecars,garagecond,garagefinish,garagequal,garagetype,garageyrblt,grlivarea,halfbath,heating,heatingqc,housestyle,id,kitchenabvgr,kitchenqual,landcontour,landslope,lotarea,lotconfig,lotfrontage,lotshape,lowqualfinsf,mssubclass,mszoning,masvnrarea,masvnrtype,miscval,mosold,neighborhood,openporchsf,overallcond,overallqual,paveddrive,poolarea,roofmatl,roofstyle,salecondition,saleprice,saletype,screenporch,street,totrmsabvgrd,totalbsmtsf,utilities,wooddecksf,yearbuilt,yearremodadd,yrsold,is_train
1040,0,0,3,1Fam,TA,No,906.0,0.0,Rec,Unf,1.0,0.0,TA,134.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,0,CBlock,1,Typ,384.0,1.0,TA,Unf,TA,Detchd,1965.0,1040,0,GasA,Ex,1Story,11,1,TA,Lvl,Gtl,11200,Inside,70.0,Reg,0,20,RL,0.0,None,0,2,Sawyer,0,5,5,Y,0,CompShg,Hip,Normal,11.771436160121729,WD,0,Pave,5,1040.0,AllPub,0,1965,1965,2008,1
1182,1142,0,4,1Fam,TA,No,998.0,0.0,GLQ,Unf,1.0,0.0,Ex,177.0,Y,Norm,Norm,SBrkr,0,TA,Ex,WdShing,Wd Shng,2,PConc,3,Typ,736.0,3.0,TA,Fin,TA,BuiltIn,2005.0,2324,0,GasA,Ex,2Story,12,1,Ex,Lvl,Gtl,11924,Inside,85.0,IR1,0,60,RL,286.0,Stone,0,7,NridgHt,21,5,9,Y,0,CompShg,Hip,Partial,12.751299696013497,New,0,Pave,11,1175.0,AllPub,147,2005,2006,2006,1
912,0,0,2,1Fam,TA,No,737.0,0.0,ALQ,Unf,1.0,0.0,TA,175.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,0,CBlock,1,Typ,352.0,1.0,TA,Unf,TA,Detchd,1962.0,912,0,GasA,TA,1Story,13,1,TA,Lvl,Gtl,12968,Inside,68.0,IR2,0,20,RL,0.0,None,0,9,Sawyer,0,6,5,Y,0,CompShg,Hip,Normal,11.877568578558138,WD,176,Pave,4,912.0,AllPub,140,1962,1962,2008,1
1494,0,0,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1494.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,840.0,3.0,TA,RFn,TA,Attchd,2006.0,1494,0,GasA,Ex,1Story,14,1,Gd,Lvl,Gtl,10652,Inside,91.0,IR1,0,20,RL,306.0,Stone,0,8,CollgCr,33,5,7,Y,0,CompShg,Gable,Partial,12.540757571577291,New,0,Pave,7,1494.0,AllPub,160,2006,2007,2007,1
1253,0,0,2,1Fam,TA,No,733.0,0.0,BLQ,Unf,1.0,0.0,TA,520.0,Y,Norm,Norm,SBrkr,176,TA,TA,MetalSd,MetalSd,1,CBlock,1,Typ,352.0,1.0,TA,RFn,TA,Attchd,1960.0,1253,1,GasA,TA,1Story,15,1,TA,Lvl,Gtl,10920,Corner,68.0,IR1,0,20,RL,212.0,BrkFace,0,5,NAmes,213,5,6,Y,0,CompShg,Hip,Normal,11.964001084330445,WD,0,Pave,5,1253.0,AllPub,0,1960,1960,2008,1
854,0,0,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,832.0,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,0,BrkTil,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,1991.0,854,0,GasA,Ex,1.5Unf,16,1,TA,Lvl,Gtl,6120,Corner,51.0,Reg,0,45,RM,0.0,None,0,7,BrkSide,112,8,7,Y,0,CompShg,Gable,Normal,11.790557201568507,WD,0,Pave,5,832.0,AllPub,48,1929,2001,2007,1
1004,0,0,2,1Fam,TA,No,578.0,0.0,ALQ,Unf,1.0,0.0,TA,426.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,1,CBlock,1,Typ,480.0,2.0,TA,Fin,TA,Attchd,1970.0,1004,0,GasA,Ex,1Story,17,1,TA,Lvl,Gtl,11241,CulDSac,68.0,IR1,0,20,RL,180.0,BrkFace,700,3,NAmes,0,7,6,Y,0,CompShg,Gable,Normal,11.911701584927597,WD,0,Pave,5,1004.0,AllPub,0,1970,1970,2010,1
1296,0,0,2,Duplex,non,non,0.0,0.0,non,non,0.0,0.0,non,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,0,Slab,2,Typ,516.0,2.0,TA,Unf,TA,CarPort,1967.0,1296,0,GasA,TA,1Story,18,2,TA,Lvl,Gtl,10791,Inside,72.0,Reg,0,90,RL,0.0,None,500,10,Sawyer,0,5,4,Y,0,CompShg,Gable,Normal,11.407564949312402,WD,0,Pave,6,0.0,AllPub,0,1967,1967,2006,1
1114,0,0,3,1Fam,TA,No,646.0,0.0,GLQ,Unf,1.0,0.0,TA,468.0,Y,RRAe,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,0,PConc,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,2004.0,1114,1,GasA,Ex,1Story,19,1,Gd,Lvl,Gtl,13695,Inside,66.0,Reg,0,20,RL,0.0,None,0,6,SawyerW,102,5,5,Y,0,CompShg,Gable,Normal,11.976659481202368,WD,0,Pave,6,1114.0,AllPub,0,2004,2004,2008,1
1339,0,0,3,1Fam,TA,No,504.0,0.0,LwQ,Unf,0.0,0.0,TA,525.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,0,CBlock,1,Min1,294.0,1.0,TA,Unf,TA,Attchd,1958.0,1339,0,GasA,TA,1Story,20,1,TA,Lvl,Gtl,7560,Inside,70.0,Reg,0,20,RL,0.0,None,0,5,NAmes,0,6,5,Y,0,CompShg,Hip,Abnorml,11.842229212112828,COD,0,Pave,6,1029.0,AllPub,0,1958,1965,2009,1
1158,1218,0,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1158.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,3,Typ,853.0,3.0,TA,RFn,TA,BuiltIn,2005.0,2376,1,GasA,Ex,2Story,21,1,Gd,Lvl,Gtl,14215,Corner,101.0,IR1,0,60,RL,380.0,BrkFace,0,11,NridgHt,154,5,8,Y,0,CompShg,Gable,Partial,12.692503112461443,New,0,Pave,9,1158.0,AllPub,240,2005,2006,2006,1
1108,0,0,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,637.0,Y,Norm,Norm,FuseF,205,TA,TA,Wd Sdng,Wd Sdng,1,PConc,1,Typ,280.0,1.0,TA,Unf,TA,Attchd,1930.0,1108,0,GasA,Ex,1.5Unf,22,1,Gd,Bnk,Gtl,7449,Inside,57.0,Reg,0,45,RM,0.0,None,0,6,IDOTRR,0,7,7,N,0,CompShg,Gable,Normal,11.845102777308561,WD,0,Pave,6,637.0,AllPub,0,1930,1950,2007,1
1795,0,0,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1777.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,534.0,2.0,TA,RFn,TA,Attchd,2002.0,1795,0,GasA,Ex,1Story,23,1,Gd,Lvl,Gtl,9742,Inside,75.0,Reg,0,20,RL,281.0,BrkFace,0,9,CollgCr,159,5,8,Y,0,CompShg,Hip,Normal,12.345834587905333,WD,0,Pave,7,1777.0,AllPub,171,2002,2002,2008,1
1060,0,0,3,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1.0,0.0,Gd,200.0,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,1,PConc,1,Typ,572.0,2.0,TA,Unf,TA,Attchd,1976.0,1060,0,GasA,TA,1Story,24,1,TA,Lvl,Gtl,4224,Inside,44.0,Reg,0,120,RM,0.0,None,0,6,MeadowV,110,7,5,Y,0,CompShg,Gable,Normal,11.77452020265869,WD,0,Pave,6,1040.0,AllPub,100,1976,1976,2007,1
1060,0,0,3,1Fam,TA,Mn,188.0,668.0,Rec,ALQ,1.0,0.0,TA,204.0,Y,Norm,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,1,CBlock,1,Typ,270.0,1.0,TA,Unf,TA,Attchd,1968.0,1060,0,GasA,Ex,1Story,25,1,Gd,Lvl,Gtl,8246,Inside,68.0,IR1,0,20,RL,0.0,None,0,5,Sawyer,90,8,5,Y,0,CompShg,Gable,Normal,11.944707881395766,WD,0,Pave,6,1060.0,AllPub,406,1968,2001,2010,1
1600,0,0,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1566.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,890.0,3.0,TA,RFn,TA,Attchd,2007.0,1600,0,GasA,Ex,1Story,26,1,Gd,Lvl,Gtl,14230,Corner,110.0,Reg,0,20,RL,640.0,Stone,0,7,NridgHt,56,5,8,Y,0,CompShg,Gable,Normal,12.454103912352162,WD,0,Pave,7,1566.0,AllPub,0,2007,2007,2009,1
900,0,0,3,1Fam,TA,Mn,234.0,486.0,BLQ,Rec,0.0,1.0,TA,180.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,0,CBlock,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,2005.0,900,0,GasA,TA,1Story,27,1,Gd,Lvl,Gtl,7200,Corner,60.0,Reg,0,20,RL,0.0,None,0,5,NAmes,32,7,5,Y,0,CompShg,Gable,Normal,11.811547477460344,WD,0,Pave,5,900.0,AllPub,222,1951,2000,2010,1
1704,0,0,3,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1.0,0.0,Ex,486.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,772.0,3.0,TA,RFn,TA,Attchd,2008.0,1704,0,GasA,Ex,1Story,28,1,Gd,Lvl,Gtl,11478,Inside,98.0,Reg,0,20,RL,200.0,Stone,0,5,NridgHt,50,5,8,Y,0,CompShg,Gable,Normal,12.631340380934517,WD,0,Pave,7,1704.0,AllPub,0,2007,2008,2010,1
1600,0,0,2,1Fam,TA,Gd,1277.0,0.0,BLQ,Unf,1.0,0.0,TA,207.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,2,CBlock,1,Typ,319.0,1.0,TA,RFn,TA,Attchd,1957.0,1600,0,GasA,TA,1Story,29,1,TA,Lvl,Gtl,16321,CulDSac,47.0,IR1,0,20,RL,0.0,None,0,12,NAmes,258,6,5,Y,0,CompShg,Gable,Normal,12.24288661865289,WD,0,Pave,6,1484.0,AllPub,288,1957,1997,2006,1
520,0,0,1,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,520.0,N,Feedr,RRNn,SBrkr,87,TA,TA,MetalSd,MetalSd,0,BrkTil,1,Typ,240.0,1.0,TA,Unf,Fa,Detchd,1920.0,520,0,GasA,Fa,1Story,30,1,Fa,Lvl,Gtl,6324,Inside,60.0,IR1,0,30,RM,0.0,None,0,5,BrkSide,0,6,4,Y,0,CompShg,Gable,Normal,11.134589024250317,WD,0,Pave,4,520.0,AllPub,49,1927,1950,2008,1
649,668,0,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,649.0,N,Feedr,Norm,SBrkr,172,Fa,TA,BrkFace,BrkFace,0,BrkTil,1,Typ,250.0,1.0,Fa,Unf,TA,Detchd,1920.0,1317,0,GasA,TA,2Story,31,1,TA,Lvl,Gtl,8500,Inside,50.0,Reg,0,70,C (all),0.0,None,0,7,IDOTRR,54,4,4,N,0,CompShg,Gambrel,Normal,10.596634733096073,WD,0,Pave,6,649.0,AllPub,0,1920,1950,2008,1
1228,0,0,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,1228.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,0,CBlock,1,Typ,271.0,1.0,TA,Unf,TA,Attchd,1966.0,1228,1,GasA,Gd,1Story,32,1,Gd,Lvl,Gtl,8544,CulDSac,68.0,IR1,0,20,RL,0.0,None,0,6,Sawyer,65,6,5,Y,0,CompShg,Gable,Normal,11.914047823644255,WD,0,Pave,6,1228.0,AllPub,0,1966,2006,2008,1
1234,0,0,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1234.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,0,PConc,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,2007.0,1234,0,GasA,Ex,1Story,33,1,Gd,Lvl,Gtl,11049,Corner,85.0,Reg,0,20,RL,0.0,None,0,1,CollgCr,30,5,8,Y,0,CompShg,Gable,Normal,12.100156419938624,WD,0,Pave,7,1234.0,AllPub,0,2007,2007,2008,1
1700,0,0,4,1Fam,TA,No,1018.0,0.0,Rec,Unf,0.0,1.0,TA,380.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,1,CBlock,1,Typ,447.0,2.0,TA,RFn,TA,Attchd,1959.0,1700,1,GasA,Gd,1Story,34,1,Gd,Lvl,Gtl,10552,Inside,70.0,IR1,0,20,RL,0.0,None,0,4,NAmes,38,5,5,Y,0,CompShg,Hip,Normal,12.016726473799254,WD,0,Pave,6,1398.0,AllPub,0,1959,1959,2010,1
1561,0,0,2,TwnhsE,TA,No,1153.0,0.0,GLQ,Unf,1.0,0.0,Ex,408.0,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,1,PConc,2,Typ,556.0,2.0,TA,Fin,TA,Attchd,2005.0,1561,0,GasA,Ex,1Story,35,1,Ex,Lvl,Gtl,7313,Inside,60.0,Reg,0,120,RL,246.0,BrkFace,0,8,NridgHt,47,5,9,Y,0,CompShg,Hip,Normal,12.533576212168626,WD,0,Pave,6,1561.0,AllPub,203,2005,2005,2007,1
1132,1320,0,4,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1117.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,3,Typ,691.0,3.0,TA,Fin,TA,BuiltIn,2004.0,2452,1,GasA,Ex,2Story,36,1,Gd,Lvl,Gtl,13418,Inside,108.0,Reg,0,60,RL,132.0,Stone,0,9,NridgHt,32,5,8,Y,0,CompShg,Gable,Normal,12.641096555879882,WD,0,Pave,9,1117.0,AllPub,113,2004,2005,2006,1
1097,0,0,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1097.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,0,PConc,1,Typ,672.0,2.0,TA,Unf,TA,Attchd,1995.0,1097,1,GasA,Ex,1Story,37,1,TA,Lvl,Gtl,10859,Corner,112.0,Reg,0,20,RL,0.0,None,0,6,CollgCr,64,5,5,Y,0,CompShg,Gable,Normal,11.884489021402711,WD,0,Pave,6,1097.0,AllPub,392,1994,1995,2009,1
1297,0,0,3,1Fam,TA,No,1213.0,0.0,Rec,Unf,0.0,1.0,TA,84.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,1,CBlock,1,Typ,498.0,2.0,TA,Fin,TA,Attchd,1954.0,1297,0,GasA,Gd,1Story,38,1,TA,Lvl,Gtl,8532,Inside,74.0,Reg,0,20,RL,650.0,BrkFace,0,10,NAmes,0,6,5,Y,0,CompShg,Hip,Normal,11.938193200374572,WD,0,Pave,5,1297.0,AllPub,0,1954,1990,2009,1
1057,0,0,3,1Fam,TA,No,731.0,0.0,GLQ,Unf,1.0,0.0,TA,326.0,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,0,CBlock,1,Typ,246.0,1.0,TA,Unf,TA,Detchd,1953.0,1057,0,GasA,TA,1Story,39,1,Gd,Lvl,Gtl,7922,Inside,68.0,Reg,0,20,RL,0.0,None,0,1,NAmes,52,7,5,Y,0,CompShg,Gable,Abnorml,11.59910316121128,WD,0,Pave,5,1057.0,AllPub,0,1953,2007,2010,1
1152,0,0,2,Duplex,non,non,0.0,0.0,non,non,0.0,0.0,non,0.0,N,Norm,Norm,FuseP,0,TA,TA,AsbShng,Plywood,0,PConc,2,Typ,0.0,0.0,non,non,non,non,1979.0,1152,0,GasA,TA,1Story,40,2,Fa,Lvl,Gtl,6040,Inside,65.0,Reg,0,90,RL,0.0,None,0,6,Edwards,0,5,4,N,0,CompShg,Gable,AdjLand,11.314474526246391,WD,0,Pave,6,0.0,AllPub,0,1955,1955,2008,1
1324,0,0,3,1Fam,TA,No,643.0,0.0,Rec,Unf,0.0,0.0,TA,445.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,1,CBlock,2,Typ,440.0,2.0,TA,RFn,TA,Attchd,1965.0,1324,0,GasA,Ex,1Story,41,1,TA,Lvl,Gtl,8658,Inside,84.0,Reg,0,20,RL,101.0,BrkFace,0,12,NAmes,138,5,6,Y,0,CompShg,Gable,Abnorml,11.982929094215963,WD,0,Pave,6,1088.0,AllPub,0,1965,1965,2006,1
1328,0,0,2,1Fam,TA,Gd,967.0,0.0,BLQ,Unf,0.0,1.0,TA,383.0,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,2,CBlock,1,Typ,308.0,1.0,TA,RFn,TA,Attchd,1959.0,1328,1,GasA,Gd,1Story,42,1,TA,Lvl,Gtl,16905,Inside,115.0,Reg,0,20,RL,0.0,None,0,7,Timber,104,6,5,P,0,CompShg,Gable,Normal,12.043553716032399,WD,0,Pave,5,1350.0,AllPub,0,1959,1959,2007,1
884,0,0,2,1Fam,TA,Av,747.0,93.0,ALQ,LwQ,1.0,0.0,Gd,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,0,CBlock,1,Typ,504.0,2.0,Gd,RFn,TA,Attchd,1983.0,884,0,GasA,Gd,SFoyer,43,1,Gd,Lvl,Gtl,9180,CulDSac,68.0,IR1,0,85,RL,0.0,None,0,12,SawyerW,0,7,5,Y,0,CompShg,Gable,Normal,11.877568578558138,WD,0,Pave,5,840.0,AllPub,240,1983,1983,2007,1
938,0,0,3,1Fam,TA,Av,280.0,491.0,LwQ,BLQ,1.0,0.0,Gd,167.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,0,CBlock,1,Typ,308.0,1.0,TA,Unf,TA,Detchd,1977.0,938,0,GasA,TA,1Story,44,1,TA,Lvl,Gtl,9200,CulDSac,68.0,IR1,0,20,RL,0.0,None,0,7,CollgCr,0,6,5,Y,0,CompShg,Hip,Normal,11.777210959615614,WD,0,Pave,5,938.0,AllPub,145,1975,1980,2008,1
1150,0,0,3,1Fam,TA,No,179.0,506.0,ALQ,BLQ,1.0,0.0,TA,465.0,Y,Norm,Norm,FuseA,0,TA,TA,BrkFace,Wd Sdng,0,CBlock,1,Typ,300.0,1.0,TA,RFn,TA,Attchd,1959.0,1150,0,GasA,Ex,1Story,45,1,TA,Lvl,Gtl,7945,Inside,70.0,Reg,0,20,RL,0.0,None,0,5,NAmes,0,6,5,Y,0,CompShg,Gable,Normal,11.856515169360305,WD,0,Pave,6,1150.0,AllPub,0,1959,1959,2006,1
1752,0,0,2,TwnhsE,TA,No,456.0,0.0,GLQ,Unf,1.0,0.0,Ex,1296.0,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,1,PConc,2,Typ,576.0,2.0,TA,RFn,TA,Attchd,2005.0,1752,0,GasA,Ex,1Story,46,1,Ex,Lvl,Gtl,7658,Inside,61.0,Reg,0,120,RL,412.0,BrkFace,0,2,NridgHt,82,5,9,Y,0,CompShg,Hip,Normal,12.675763725937609,WD,0,Pave,6,1752.0,AllPub,196,2005,2005,2010,1
1518,631,0,1,1Fam,TA,No,1351.0,0.0,GLQ,Unf,1.0,0.0,Ex,83.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,1,Typ,670.0,2.0,TA,RFn,TA,Attchd,2003.0,2149,1,GasA,Ex,1.5Fin,47,1,Gd,Lvl,Gtl,12822,CulDSac,48.0,IR1,0,50,RL,0.0,None,0,8,Mitchel,43,5,7,Y,0,CompShg,Gable,Abnorml,12.387085012375499,WD,198,Pave,6,1434.0,AllPub,168,2003,2003,2009,1
1656,0,0,3,1Fam,TA,Av,24.0,0.0,GLQ,Unf,0.0,0.0,Gd,1632.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,0,PConc,2,Typ,826.0,3.0,TA,RFn,TA,Attchd,2006.0,1656,0,GasA,Ex,1Story,48,1,Gd,Lvl,Gtl,11096,Inside,84.0,Reg,0,20,FV,0.0,None,0,7,Somerst,146,5,8,Y,0,CompShg,Gable,Normal,12.428015476267865,WD,0,Pave,7,1656.0,AllPub,0,2006,2006,2007,1
